NoseX,NoseY,NoseC,NeckX,NeckY,NeckC,RShoulderX,RShoulderY,RShoulderC,RElbowX,RElbowY,RElbowC,RWristX,RWristY,RWristC,LShoulderX,LShoulderY,LShoulderC,LElbowX,LElbowY,LElbowC,LWristX,LWristY,LWristC,MidHipX,MidHipY,MidHipC,RHipX,RHipY,RHipC,RKneeX,RKneeY,RKneeC,RAnkleX,RAnkleY,RAnkleC,LHipX,LHipY,LHipC,LKneeX,LKneeY,LKneeC,LAnkleX,LAnkleY,LAnkleC,REyeX,REyeY,REyeC,LEyeX,LEyeY,LEyeC,REarX,REarY,REarC,LEarX,LEarY,LEarC,LBigToeX,LBigToeY,LBigToeC,LSmallToeX,LSmallToeY,LSmallToeC,LHeelX,LHeelY,LHeelC,RBigToeX,RBigToeY,RBigToeC,RSmallToeX,RSmallToeY,RSmallToeC,RHeelX,RHeelY,RHeelC,Label
0.453047,0.215515,0.899726,0.545036,0.18203,0.695937,0.520005,0.187623,0.642912,0.582766,0.232282,0.0714779,0,0,0,0.55762,0.168252,0.771257,0.70822,0.1932,0.807342,0.783674,0.263022,0.831521,0.699899,0.276884,0.760576,0.658166,0.279652,0.737058,0.503236,0.34105,0.845482,0.658042,0.427604,0.805378,0.741736,0.274154,0.742647,0.662278,0.321454,0.886708,0.766837,0.4499,0.770328,0.444512,0.212891,0.131644,0.448794,0.207154,0.928032,0,0,0,0.465675,0.168211,0.877391,0.695713,0.477749,0.798649,0.721002,0.480453,0.770304,0.791991,0.461034,0.704408,0.612025,0.472198,0.759448,0.611894,0.458382,0.704036,0.6873,0.43037,0.728331,0
0.599599,0.2003,0.871157,0.603448,0.252893,0.923808,0.566297,0.277722,0.828456,0.558574,0.369148,0.803977,0.591779,0.394011,0.785251,0.640735,0.230708,0.829777,0.709151,0.214243,0.736615,0.789476,0.208541,0.873814,0.64858,0.38844,0.619285,0.621156,0.404984,0.555938,0.601583,0.277726,0.8905,0.652426,0.421666,0.414938,0.675951,0.369094,0.569946,0.726799,0.358019,0.817359,0.789456,0.529502,0.470554,0.585944,0.189219,0.965277,0.60349,0.18647,0.975684,0.570201,0.205781,0.923205,0.611383,0.189194,0.177495,0.838354,0.568272,0.259605,0.840303,0.559919,0.280946,0.775727,0.565453,0.276592,0.679886,0.43818,0.172783,0.675944,0.452089,0.165756,0.656371,0.429893,0.139803,0
0.457296,0.206701,0.807123,0.423799,0.184413,0.70578,0.428056,0.167753,0.80508,0.415503,0.184408,0.729268,0.419686,0.209378,0.872498,0.419607,0.192773,0.607874,0.419597,0.212328,0.217404,0.427973,0.212199,0.159851,0.32761,0.178875,0.697617,0.323284,0.164897,0.838103,0.373628,0.184432,0.626564,0.260654,0.212401,0.750945,0.340127,0.190108,0.689217,0.38174,0.226179,0.830986,0.306558,0.276228,0.854498,0.469826,0.195614,0.806212,0.473997,0.209405,0.474071,0.465561,0.187195,0.821256,0,0,0,0.302463,0.301436,0.741467,0.3148,0.301371,0.813674,0.285669,0.276223,0.814331,0.27313,0.234583,0.437765,0.25243,0.234476,0.495369,0.252205,0.215119,0.649209,0
0.365995,0.226961,0.904757,0.354956,0.243332,0.847941,0.303233,0.227102,0.844762,0.227021,0.205165,0.892099,0.139745,0.180652,0.881593,0.401384,0.254313,0.890115,0.447752,0.300604,0.887759,0.513087,0.314242,0.927868,0.325036,0.365989,0.736439,0.295162,0.363254,0.730884,0.270579,0.352317,0.849549,0.254241,0.480348,0.718498,0.355034,0.368718,0.726534,0.42597,0.35768,0.941223,0.42865,0.472286,0.866274,0.36041,0.210595,0.960292,0.379652,0.216059,0.901169,0.338776,0.205178,0.9333,0.395869,0.213377,0.459564,0.474903,0.494021,0.834065,0.472307,0.488546,0.851715,0.423052,0.488432,0.809815,0.210634,0.466709,0.477175,0.210662,0.466702,0.508811,0.267851,0.507608,0.574953,0
0.477726,0.258072,0.914557,0.518276,0.258078,0.844688,0.466683,0.260818,0.762637,0.407821,0.318818,0.904103,0.345157,0.365839,0.905154,0.566184,0.255458,0.768362,0.625011,0.368522,0.901779,0.654605,0.479101,0.803545,0.53666,0.385074,0.796384,0.50902,0.371327,0.72837,0.435467,0.41277,0.870423,0.416953,0.586794,0.815639,0.562491,0.390725,0.683931,0.486968,0.440453,0.783371,0.505404,0.561857,0.832969,0.466716,0.247032,0.616289,0.481455,0.246968,0.868047,0,0,0,0.507302,0.216636,0.77648,0.481497,0.611768,0.799193,0.498059,0.611687,0.740764,0.510921,0.564683,0.679431,0.361712,0.59509,0.641749,0.365422,0.589526,0.594735,0.420739,0.608887,0.788233,0
0.58682,0.234646,0.93723,0.595304,0.201139,0.821873,0.511561,0.212194,0.799961,0.444707,0.287429,0.837883,0.449034,0.39041,0.916304,0.687246,0.189965,0.843876,0.787739,0.223421,0.880234,0.858897,0.287437,0.843183,0.578584,0.281852,0.841491,0.520008,0.281879,0.827424,0.540929,0.365296,0.862815,0.478146,0.504486,0.752846,0.62459,0.281813,0.803319,0.750193,0.348678,0.921705,0.65412,0.493286,0.792947,0.566118,0.223428,0.799002,0.607853,0.223434,0.850932,0.549051,0.198374,0.397055,0.645515,0.20388,0.787399,0.729289,0.524077,0.821257,0.737579,0.521068,0.833954,0.624654,0.501713,0.828004,0.490845,0.546188,0.774069,0.457357,0.543535,0.728996,0.465661,0.521133,0.584041,0
0,0,0,0.545331,0.216614,0.876256,0.582948,0.225019,0.800517,0.583048,0.278277,0.0817516,0,0,0,0.495299,0.213854,0.867997,0.415656,0.252958,0.885459,0.348945,0.255908,0.925107,0.562187,0.342578,0.772275,0.591562,0.345546,0.794444,0.55382,0.300719,0.586714,0.545419,0.409808,0.858477,0.532929,0.328731,0.722011,0.482848,0.275505,0.902666,0.419931,0.3539,0.868743,0,0,0,0,0,0,0.549475,0.188565,0.199145,0.486813,0.191554,0.613471,0.382371,0.331427,0.742872,0.382097,0.345347,0.873577,0.42008,0.370611,0.84225,0.507814,0.398738,0.4712,0.520497,0.39594,0.480079,0.545354,0.41562,0.824713,0
0.557808,0.399652,0.864158,0.540973,0.374514,0.84619,0.478073,0.343851,0.820961,0.377603,0.257513,0.834572,0.268894,0.173687,0.812633,0.607898,0.410923,0.847295,0.587042,0.466654,0.859254,0.545161,0.494492,0.868799,0.335886,0.516797,0.604172,0.31918,0.49729,0.708308,0.503296,0.555867,0.830677,0.356813,0.656335,0.764275,0.348525,0.539143,0.447932,0.51158,0.636648,0.884893,0.327472,0.742747,0.605888,0.54928,0.385714,0.896615,0.586756,0.38861,0.94965,0.520133,0.355009,0.777378,0.61627,0.380151,0.286671,0.386195,0.781846,0.391243,0.390294,0.770693,0.429104,0.289827,0.748307,0.487602,0.381837,0.703746,0.172664,0.356773,0.700988,0.225316,0.319343,0.659114,0.63066,0
0.538766,0.205736,0.968678,0.525852,0.205706,0.912656,0.504754,0.194807,0.814848,0.480426,0.16483,0.845024,0.45609,0.121309,0.87278,0.55005,0.211189,0.898556,0.575963,0.227344,0.89368,0.605237,0.227506,0.891296,0.524198,0.317403,0.785717,0.511122,0.317358,0.754862,0.538777,0.276588,0.897255,0.525828,0.379993,0.868877,0.538698,0.317326,0.666984,0.569546,0.27651,0.856807,0.587299,0.369126,0.810242,0.537088,0.197512,0.887575,0.543588,0.197529,0.802336,0.524194,0.186602,0.941316,0,0,0,0.600315,0.38015,0.701528,0.601988,0.377308,0.702292,0.579301,0.38269,0.759608,0.530656,0.401793,0.708067,0.522566,0.39644,0.717891,0.525722,0.382866,0.691663,0
0.57857,0.343851,0.889771,0.520141,0.321658,0.855163,0.515978,0.301978,0.898764,0.478039,0.254714,0.853729,0.448851,0.20991,0.943072,0.528349,0.341132,0.756979,0.519861,0.38575,0.647241,0.549262,0.410827,0.523428,0.423729,0.380105,0.780365,0.415331,0.371765,0.844826,0.520127,0.380171,0.870659,0.486358,0.449837,0.848913,0.440525,0.385688,0.754222,0.545039,0.413506,0.77759,0.570232,0.455438,0.730327,0.582792,0.338236,0.869884,0,0,0,0.5785,0.318795,0.841798,0,0,0,0.616071,0.452688,0.513765,0.603672,0.452579,0.509653,0.56192,0.458224,0.607728,0.5157,0.458214,0.512106,0.494996,0.458342,0.509159,0.478096,0.452696,0.689956,0
